0	-nan	-nan	-nan
4.62	0.141674	0.0456925	0.0959819
4.63	0.141784	0.0457738	0.0960098
4.64	0.141893	0.0458553	0.0960373
4.65	0.142001	0.0459369	0.0960644
4.66	0.14211	0.0460187	0.0960913
4.67	0.142218	0.0461006	0.0961177
4.68	0.142326	0.0461826	0.0961438
4.69	0.142434	0.0462647	0.0961695
4.7	0.142542	0.0463469	0.0961949
4.71	0.142649	0.0464291	0.0962198
4.72	0.142756	0.0465113	0.0962444
4.73	0.142862	0.0465936	0.0962686
4.74	0.142968	0.0466758	0.0962925
4.75	0.143074	0.046758	0.0963159
4.76	0.143179	0.0468401	0.0963389
4.77	0.143284	0.0469221	0.0963616
4.78	0.143388	0.047004	0.0963838
4.79	0.143491	0.0470858	0.0964056
4.8	0.143594	0.0471674	0.096427
4.81	0.143697	0.0472488	0.096448
4.82	0.143799	0.04733	0.0964685
4.83	0.1439	0.047411	0.0964886
4.84	0.144	0.0474917	0.0965083
4.85	0.1441	0.0475721	0.0965275
4.86	0.144198	0.0476522	0.0965463
4.87	0.144297	0.0477319	0.0965646
4.88	0.144394	0.0478113	0.0965824
4.89	0.14449	0.0478903	0.0965998
4.9	0.144585	0.0479688	0.0966167
4.91	0.14468	0.0480469	0.0966331
4.92	0.144773	0.0481245	0.096649
4.93	0.144866	0.0482016	0.0966644
4.94	0.144957	0.0482781	0.0966792
4.95	0.145048	0.0483541	0.0966936
4.96	0.145137	0.0484294	0.0967074
4.97	0.145225	0.0485041	0.0967207
4.98	0.145312	0.0485782	0.0967334
4.99	0.145397	0.0486516	0.0967455
5	0.145481	0.0487242	0.0967571
5.01	0.145564	0.0487961	0.0967681
5.02	0.145646	0.0488672	0.0967784
5.03	0.145726	0.0489375	0.0967882
5.04	0.145804	0.049007	0.0967973
5.05	0.145881	0.0490755	0.0968058
5.06	0.145957	0.0491432	0.0968136
5.07	0.146031	0.0492099	0.0968208
5.08	0.146103	0.0492756	0.0968273
5.09	0.146173	0.0493404	0.0968331
5.1	0.146242	0.0494041	0.0968381
5.11	0.146309	0.0494667	0.0968425
5.12	0.146374	0.0495282	0.096846
5.13	0.146437	0.0495886	0.0968489
5.14	0.146499	0.0496478	0.0968509
5.15	0.146558	0.0497059	0.0968521
5.16	0.146615	0.0497627	0.0968526
5.17	0.14667	0.0498182	0.0968522
5.18	0.146723	0.0498724	0.0968509
5.19	0.146774	0.0499253	0.0968488
5.2	0.146823	0.0499769	0.0968457
5.21	0.146869	0.050027	0.0968418
5.22	0.146913	0.0500758	0.0968369
5.23	0.146954	0.050123	0.096831
5.24	0.146993	0.0501688	0.0968242
5.25	0.147029	0.0502131	0.0968163
5.26	0.147063	0.0502558	0.0968075
5.27	0.147094	0.0502969	0.0967975
5.28	0.147123	0.0503364	0.0967865
5.29	0.147149	0.0503743	0.0967744
5.3	0.147172	0.0504105	0.0967612
5.31	0.147192	0.050445	0.0967468
5.32	0.147209	0.0504777	0.0967313
5.33	0.147223	0.0505087	0.0967145
5.34	0.147234	0.0505378	0.0966965
